time,conc
7500,1.087108095
8100,1.056197271
8700,1.079438492
9300,1.037604295
9900,1.050851791
10500,1.058521394
11100,1.003904525
11700,1.002974876
12300,0.989494968
12900,1.072233714
13500,0.964859274
14100,0.957422084
14700,0.988565319
15300,0.948358008
15900,0.986706022
16500,0.957422084
17100,0.980663304
17700,0.967648221
18300,0.92651126
18900,0.931624329
19500,0.890487368
20100,0.948822832
20700,0.924419551
21300,0.891184605
21900,0.91070723
22500,0.842378042
23100,0.838891859
23700,0.846561461
24300,0.817742348
24900,0.779161922
25500,0.822390592
26100,0.792409417
26700,0.801705906
27300,0.806818974
27900,0.777070212
28500,0.768006136
29100,0.807051386
29700,0.7958956
30300,0.73477119
30900,0.759174472
31500,0.781486044
32100,0.772189555
32700,0.688521161
33300,0.720826458
33900,0.668068887
34500,0.665512353
35100,0.644827666
35700,0.661096521
36300,0.642503544
36900,0.644827666
37500,0.661561345
38100,0.636228415
38700,0.614381667
39300,0.677365375
39900,0.619262324
40500,0.670857833
41100,0.592070096
41700,0.633439468
42300,0.597647988
42900,0.603225881
43500,0.602296233
44100,0.548841425
44700,0.624375392
45300,0.550468311
45900,0.591605271
46500,0.529783624
47100,0.549538662
47700,0.525367792
48300,0.510493411
48900,0.536058754
49500,0.514444419
50100,0.498872801
50700,0.477955702
51300,0.502591396
51900,0.504218282
52500,0.482603946
53100,0.477258466
53700,0.472842634
54300,0.486322542
54900,0.476561229
55500,0.472610221
56100,0.462848909
56700,0.445417993
57300,0.425662956
57900,0.398005903
58500,0.447509703
59100,0.464243382
59700,0.424268483
60300,0.434727032
60900,0.40288656
61500,0.43658633
62100,0.354312408
62700,0.357101355
63300,0.386385293
63900,0.36500337
64500,0.355242057
65100,0.344551096
65700,0.359890301
66300,0.356636531
66900,0.315731982
67500,0.323169173
68100,0.350128989
68700,0.289934227
69300,0.320380226
69900,0.292955586
70500,0.295047296
71100,0.292723174
71700,0.291793525
72300,0.302949311
72900,0.319915402
73500,0.331536012
74100,0.276454319
74700,0.291793525
75300,0.300857601
75900,0.277848793
76500,0.242057313
77100,0.322936761
77700,0.247170381
78300,0.251121389
78900,0.27017919
79500,0.292490762
80100,0.233225649
80700,0.246473145
81300,0.246240733
81900,0.20905478
82500,0.224393985
83100,0.232063588
83700,0.261347526
84300,0.232528412
84900,0.255304809
85500,0.212773375
86100,0.214865085
86700,0.235084947
